Indexcd,Trddt,Opnindex,Hiindex,Loindex,Clsindex,Retindex
000001,2017/8/8,3277.189,3285.483,3269.658,3281.873,0.000737
000001,2017/8/9,3277.808,3277.943,3263.847,3275.573,-0.00192
000001,2017/8/10,3269.735,3282.519,3236.183,3261.749,-0.00422
000001,2017/8/11,3237.922,3245.116,3200.748,3208.541,-0.016313
000001,2017/8/14,3206.044,3240.052,3206.044,3237.36,0.008982
000001,2017/8/15,3235.23,3263.589,3235.101,3251.262,0.004294
000001,2017/8/16,3247.852,3248.785,3228.87,3246.451,-0.00148
000001,2017/8/17,3253.845,3269.139,3251.459,3268.43,0.00677
000001,2017/8/18,3253.243,3275.076,3248.083,3268.724,0.00009
000001,2017/8/21,3274.581,3287.519,3270.475,3286.905,0.005562
000001,2017/8/22,3287.615,3293.476,3274.941,3290.226,0.00101
000001,2017/8/23,3283.797,3299.457,3274.44,3287.705,-0.000766
000001,2017/8/24,3287.959,3297.989,3266.359,3271.512,-0.004925
000001,2017/8/25,3271.461,3331.915,3271.461,3331.522,0.018343
000001,2017/8/28,3336.126,3375.034,3336.126,3362.651,0.009344
000001,2017/8/29,3362.06,3374.595,3354.463,3365.226,0.000766
000001,2017/8/30,3361.821,3376.648,3357.08,3363.627,-0.000475
000001,2017/8/31,3361.462,3367.358,3340.686,3360.81,-0.000837
000001,2017/9/1,3365.991,3381.925,3358.472,3367.119,0.001877
000001,2017/9/4,3369.718,3381.403,3359.131,3379.583,0.003702
000001,2017/9/5,3377.197,3390.823,3371.571,3384.317,0.001401
000001,2017/9/6,3372.428,3391.01,3364.765,3385.389,0.000317
000001,2017/9/7,3383.628,3387.796,3363.177,3365.497,-0.005876
000001,2017/9/8,3364.427,3380.89,3353.688,3365.243,-0.000075
000001,2017/9/11,3365.351,3384.81,3360.046,3376.419,0.003321
000001,2017/9/12,3381.487,3391.069,3370.852,3379.488,0.000909
000001,2017/9/13,3374.718,3387.14,3366.541,3384.147,0.001379
000001,2017/9/14,3383.47,3391.644,3361.334,3371.426,-0.003759
000001,2017/9/15,3365.145,3365.528,3345.328,3353.619,-0.005282
000001,2017/9/18,3352.513,3371.749,3352.513,3362.859,0.002755
000001,2017/9/19,3365.532,3370.401,3344.705,3356.845,-0.001788
000001,2017/9/20,3352.185,3370.098,3346.536,3365.996,0.002726
000001,2017/9/21,3364.698,3377.884,3356.875,3357.812,-0.002431
000001,2017/9/22,3347.157,3356.451,3334.985,3352.529,-0.001573
000001,2017/9/25,3344.589,3350.961,3334.944,3341.549,-0.003275
000001,2017/9/26,3336.35,3347.163,3332.599,3343.583,0.000609
000001,2017/9/27,3340.822,3349.695,3340.299,3345.272,0.000505
000001,2017/9/28,3343.845,3344.601,3336.178,3339.642,-0.001683
000001,2017/9/29,3340.311,3357.015,3340.311,3348.943,0.002785
000001,2017/10/9,3403.246,3410.17,3366.965,3374.378,0.007595
000001,2017/10/10,3373.345,3384.026,3358.795,3382.988,0.002552
000001,2017/10/11,3381.488,3395.779,3379.163,3388.284,0.001565
000001,2017/10/12,3385.533,3390.204,3372.533,3386.1,-0.000645
000001,2017/10/13,3384.488,3395.748,3383.239,3390.523,0.001306
000001,2017/10/16,3393.206,3400.511,3374.769,3378.47,-0.003555
000001,2017/10/17,3373.234,3382.407,3365.565,3372.041,-0.001903
000001,2017/10/18,3373.528,3383.232,3371.925,3381.794,0.002892
000001,2017/10/19,3374.644,3378.736,3359.628,3370.172,-0.003437
000001,2017/10/20,3363.514,3379.765,3360.1,3378.648,0.002515
000001,2017/10/23,3382.28,3385.285,3374.705,3380.699,0.000607
000001,2017/10/24,3376.599,3388.689,3374.125,3388.248,0.002233
000001,2017/10/25,3384.858,3398.304,3382.034,3396.898,0.002553
000001,2017/10/26,3397.519,3414.242,3391.455,3407.567,0.003141
000001,2017/10/27,3404.498,3421.103,3402.114,3416.812,0.002713
000001,2017/10/30,3413.868,3419.731,3357.276,3390.337,-0.007748
000001,2017/10/31,3380.999,3397.099,3376.124,3393.342,0.000886
000001,2017/11/1,3393.968,3410.352,3388.598,3395.912,0.000757
000001,2017/11/2,3391.652,3391.652,3372.213,3383.309,-0.003711
000001,2017/11/3,3377.736,3380.57,3347.36,3371.744,-0.003418
000001,2017/11/6,3369.685,3389.383,3356.534,3388.174,0.004873
000001,2017/11/7,3389.472,3415.148,3387.946,3413.575,0.007497
000001,2017/11/8,3409.147,3434.492,3404.881,3415.46,0.000552
000001,2017/11/9,3410.672,3428.77,3408.619,3427.795,0.003612
000001,2017/11/10,3423.185,3438.792,3414.329,3432.673,0.001423
000001,2017/11/13,3435.184,3449.164,3435.085,3447.836,0.004417
000001,2017/11/14,3446.545,3450.495,3419.692,3429.548,-0.005304
000001,2017/11/15,3416.211,3423.749,3396.381,3402.524,-0.00788
000001,2017/11/16,3393.194,3409.653,3390.589,3399.25,-0.000962
000001,2017/11/17,3392.683,3403.285,3373.296,3382.907,-0.004808
000001,2017/11/20,3361.356,3393.106,3337.116,3392.399,0.002806
000001,2017/11/21,3382.36,3419.802,3377.599,3410.498,0.005335
000001,2017/11/22,3417.331,3442.178,3404.287,3430.464,0.005854
000001,2017/11/23,3425.009,3429.424,3342.332,3351.918,-0.022897
000001,2017/11/24,3340.384,3360.746,3328.334,3353.821,0.000568
000001,2017/11/27,3346.657,3347.051,3315.264,3322.23,-0.009419
000001,2017/11/28,3311.232,3333.8,3300.781,3333.657,0.00344
000001,2017/11/29,3335.567,3343.062,3305.572,3337.862,0.001261
000001,2017/11/30,3328.643,3340.92,3306.283,3317.188,-0.006194
000001,2017/12/1,3315.105,3324.516,3302.44,3317.617,0.000129
000001,2017/12/4,3310.381,3323.996,3304.103,3309.618,-0.002411
000001,2017/12/5,3301.691,3315.737,3300.512,3303.675,-0.001796
000001,2017/12/6,3291.313,3296.201,3254.611,3293.965,-0.002939
000001,2017/12/7,3283.279,3291.282,3259.164,3272.054,-0.006652
000001,2017/12/8,3264.478,3297.13,3258.759,3289.992,0.005482
000001,2017/12/11,3290.488,3322.674,3288.295,3322.196,0.009788
000001,2017/12/12,3320.31,3320.31,3280.329,3280.814,-0.012456
000001,2017/12/13,3278.397,3304.01,3273.325,3303.037,0.006774
000001,2017/12/14,3302.932,3309.53,3282.573,3292.439,-0.003209
000001,2017/12/15,3287.529,3287.529,3259.388,3266.137,-0.007989
000001,2017/12/18,3268.034,3280.544,3254.177,3267.922,0.000547
000001,2017/12/19,3266.019,3296.94,3266.019,3296.538,0.008757
000001,2017/12/20,3296.74,3300.212,3276.12,3287.606,-0.00271
000001,2017/12/21,3281.118,3309.223,3267.404,3300.059,0.003788
000001,2017/12/22,3297.685,3307.328,3293.441,3297.063,-0.000908
000001,2017/12/25,3296.211,3312.3,3270.441,3280.461,-0.005035
